IUPAC,Galectin-3 (20ug/ml) Slide:13619,Gal-3C (0.5ug/ml) Slide:15163,Gal-3C (2ug/ml) Slide:15156,Gal-3C (5ug/ml) Slide:15161,Gal-3C (20ug/ml) Slide:15157,Gal-3C (50ug/ml) Slide:15162,binding
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.390575,21.971325,7.524475,11.0026,8.774625,18.706275,low
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,4.268625,26.764375,23.111525,28.071525,25.729975,17.646125,low
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,24.7292,18.59865,35.24235,12.60715,9.312,25.7426,low
Gal(a1-3)GalNAc(a1-Sp8,33.531825,29.73025,33.363725,26.264225,23.3113,17.6819,low
Gal(a1-3)GalNAc(a1-Sp16,5.671175,35.960525,14.018875,33.891775,26.462275,24.216425,low
Gal(a1-3)GalNAc(b1-Sp8,9.268275,20.94775,20.0739,13.29275,24.147075,16.952575,low
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1.730275,18.52395,13.190625,30.132575,28.5549,19.213775,low
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,4.2176,8.261175,17.653025,11.603125,19.463125,28.52415,low
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,9.6919,6.064775,28.59325,30.767525,131.98315,183.479625,low
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,19.16195,10.0126,24.966275,2.210825,34.36155,10.17565,low
Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,13.25485,15.524525,6.7151,19.34265,20.8241,33.9209,low
Gal(a1-3)Gal(b1-Sp8,3.22765,2.813725,18.9946,6.7148,7.349325,34.92795,low
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,17.83985,23.782975,28.37135,24.917175,6.46755,38.900475,low
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,15.5645,19.51095,21.987875,26.877975,30.895025,34.8068,low
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,11.530275,10.793675,23.83355,32.346175,19.339825,29.020375,low
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,16.0311,25.8919,22.5038,29.61535,11.724225,49.106675,low
Gal(a1-4)GlcNAc(b1-Sp8,3.4829,14.774375,5.602525,22.426525,15.1422,11.54525,low
Gal(a1-6)Glc(b1-Sp8,14.3371,25.22835,11.668575,16.64475,20.64315,17.191975,low
Gal(b1-2)Gal(b1-Sp8,10.99385,22.045325,23.00235,30.285675,22.264025,25.61245,low
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.490775,13.60285,33.594375,19.32295,16.24575,11.253975,low
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,3.353925,4.598075,19.636475,15.29445,20.4584,17.479025,low
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,19.250625,28.240075,20.62025,30.439325,14.98345,14.5552,low
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,16.12025,9.672325,17.720825,14.188,11.9276,14.713,low
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,3.21755,34.83445,41.05035,31.3907,39.56965,35.2116,low
Gal(b1-4)GlcNAc(b1-6)GalNAc(b1-Sp14,14.9399,12.7912,9.5435,13.4162,35.742675,48.3762,low
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8 ,11.1348,25.842025,11.213825,4.639975,18.664925,37.21165,low
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,12.65485,15.85435,17.24435,21.19965,8.856825,7.830075,low
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-0.607575,6.676425,8.995975,9.188375,8.064425,21.832425,low
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,2.067325,29.5935,26.338675,32.733525,20.518575,19.66015,low
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-0.403925,12.89055,13.608275,7.014725,3.635125,14.76735,low
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,0.9672,6.682275,23.07655,11.47455,19.258875,16.00165,low
Gal(b1-3)GalNAc(a1-Sp8,2.1329,16.977825,10.40995,6.029,17.606175,20.30325,low
Gal(b1-3)GalNAc(a1-Sp14,7.0944,22.574825,17.49535,7.9566,10.3382,18.293,low
Gal(b1-3)GalNAc(a1-Sp16,10.599175,16.311725,24.073325,12.621675,26.70875,27.230825,low
Gal(b1-3)GalNAc(b1-Sp8,5.72235,5.054475,9.085775,24.80795,20.176375,36.854725,low
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,6.533325,23.577775,5.63715,15.831775,17.76035,34.9656,low
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,25.382675,14.161625,15.002425,21.720725,20.9849,14.446275,low
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,21.395925,13.42735,20.0428,35.170575,14.5274,48.9997,low
Gal(b1-3)Gal(b1-Sp8,20.88975,16.841725,17.44825,21.642475,10.28165,52.89235,low
